Show_ID,Type,Title,Director,Cast,Date_Added,Release_Year,Rating,Duration,Listed_In,Description
SH00419,TV Show,Raise study,Sue Boyd,"Jose Roberts, Lisa Bright, Jeffrey Carrillo",03/11/2018,2021,TV-MA,9 Seasons,"Sci-Fi, Documentary, Comedy",Born who address page institution one. Wife prepare board partner south.
SH00421,TV Show,Again very no,Megan Lawrence,"Jacob Skinner, Shelby Austin, Michael Martin",02/03/2017,2018,PG,80 min,"Documentary, Romance",Career accept then drop family ready. Blood report civil thank could sing well.
SH00422,TV Show,Loss writer,Melinda Miller,"Daniel Lawson, Jacob Ortega, Ashley Willis",26/10/2019,2018,TV-14,106 min,"Action, Sci-Fi, Comedy",Debate report receive method guy score pass.
SH00424,Movie,After very field,John Brown,"Ronald Smith, Randy Lane, Edward Hall",27/08/2018,1999,G,5 Seasons,"Action, Romance, Sci-Fi",Western special it. Side whole institution about wonder stay. Road author girl find.
SH00425,TV Show,Industry figure report,Jessica Thomas,"Kimberly Cherry, Michael Mendoza",13/11/2018,2019,TV-MA,109 min,"Romance, Documentary",Teacher process old trial discussion.
SH00426,Movie,Major theory guy,Kevin Salinas,"Patrick Reynolds, Steven Fisher",29/11/2020,2014,R,7 Seasons,"Action, Comedy, Horror",Choice evening baby her woman. Media seven any senior.
SH00427,Movie,Car writer,Jennifer Burgess,"Jamie Martinez, William Williams, Tammy Crawford, Steven Lewis",31/03/2023,2009,PG,159 min,"Documentary, Comedy, Horror",Argue American low fish use. Professor task majority partner. Business pick may answer.
SH00429,Movie,Another conference,Adam Henderson,"Dave Flores, Tammy Frazier",22/07/2023,1990,G,10 Seasons,"Comedy, Action",Garden audience officer. Site think all. Work us popular hope range pick.
SH00430,TV Show,Student successful,Rachel Baldwin,"Amanda Cortez, Derrick Owens, Laurie Ruiz, Paul Hall",23/05/2022,2019,PG-13,1 Seasons,"Sci-Fi, Drama, Comedy",Produce require fear owner page.
SH00432,TV Show,Industry evidence,Michael Kim,"Christina Davidson, Teresa Jackson",20/10/2021,2003,TV-MA,2 Seasons,"Action, Sci-Fi",Key pressure individual down pick already. Suffer start seem her add would.
SH00434,TV Show,Truth,Danielle Fox,"Miss Jasmine Kirby, Justin Roth, Meghan Phillips, Heather Ortiz",16/04/2023,1993,PG-13,72 min,"Sci-Fi, Thriller",Travel compare nature. He magazine discover its course.
SH00435,TV Show,Difference,Michael Green,"Veronica Ortiz, Kathleen Gomez, Audrey Rose, Riley Bullock, Ariana Wolfe",26/09/2022,2007,TV-MA,9 Seasons,"Documentary, Drama",Happen course something stage report sense.
SH00437,TV Show,Friend poor,Mrs. Ann Tucker DVM,"Cassandra Salazar MD, Raymond Cooper, Autumn Williams",12/03/2023,1990,G,109 min,"Sci-Fi, Action, Horror",Tax example like mind. Understand camera people suggest world draw American.
SH00438,TV Show,Back fish,Kim Frost,"Christopher Nelson, Christina Humphrey, Lauren Dean",06/04/2023,2004,PG-13,5 Seasons,"Action, Drama",Resource perhaps store score case wide. Before firm agent attack where student view.
SH00439,Movie,He try action,Jeffrey Gray,"Juan Moore, Curtis Mosley, Shelly Clark, Matthew Miller",16/12/2019,1998,TV-14,92 min,"Romance, Action",Sound possible despite. Environment develop tend ready.
SH00440,Movie,Instead bed establish,Bethany Foster,"Lucas Spencer, Carla Miller, Deanna Cox, Stephen Marsh",26/07/2023,2004,R,10 Seasons,"Horror, Sci-Fi",Sing certain do with thank add life another. Partner best within might among worker.
SH00441,Movie,Show religious,Susan Boone,"Juan Taylor, Virginia Crawford, Sydney Mcdaniel",17/04/2017,2013,PG,171 min,Drama,Prove sign third cost parent scientist add.
SH00442,TV Show,Without per PM,Andrew Perez,"Mr. Joseph Diaz, Lisa Carter, Sydney Hardy, Michelle Johnson",17/02/2017,1993,R,3 Seasons,"Drama, Documentary, Thriller",Nearly step including after education. Study college usually protect summer.
SH00443,Movie,Game peace,Amy Jackson,"Melissa Boyer, Cheyenne Murray, Tiffany Murray, Jacob Morris, Ashley Miller",03/12/2017,2001,TV-MA,102 min,Documentary,Magazine building cut. They hair career necessary. Range religious rock.
SH00444,TV Show,Attorney mission western,Dr. Gloria Brown,"Michael Taylor, Nicholas Mills DDS, Dustin Hamilton, Adam Dickson",16/11/2019,1995,PG,2 Seasons,Thriller,Live someone wind base. War simply turn yeah head us. Word Mr into dinner.
SH00445,TV Show,Nature general,Robert Torres,"Sandra Mcdonald, Nathan Barnett, Sean Peterson, Lisa Robertson",04/07/2020,2013,PG-13,10 Seasons,"Sci-Fi, Thriller",Yard call on can report painting. Law community partner cell away include lot.
SH00446,Movie,Collection civil matter,Stacy Boone,"Nancy Lynn, Chelsea Moore",18/08/2022,2000,PG-13,3 Seasons,"Comedy, Romance",We health speak up become power four. Newspaper receive every exactly.
SH00447,Movie,Wrong huge,Felicia Frazier,"Brandon Smith, Michelle Miller, Brenda Evans, Monique Powers, Judith Marshall",17/09/2018,2002,TV-14,6 Seasons,"Horror, Romance",Suddenly figure born somebody wear anyone. Much anything level security.
SH00448,TV Show,Recognize,Alexis Mcgee,"Lynn Crawford, Sarah Diaz",06/03/2022,2023,PG,99 min,"Comedy, Sci-Fi",Girl old center require pass position probably set. Class coach walk because mean admit.
SH00449,Movie,Economic sell,Angela Wallace,"Emily Fisher, Evan Ballard, Kristen Archer",30/06/2020,2014,G,7 Seasons,Romance,City bad free morning morning. Letter staff point during.
SH00450,TV Show,Simple,Natalie Wood,"Collin Pierce, Elizabeth Weaver, Lindsey Cain",12/09/2021,1996,PG,76 min,"Action, Romance",Second medical certain fish. Remain standard industry market.
SH00451,TV Show,Condition two,Mrs. Brianna Bailey MD,"William Rodriguez, Kayla Levy, Michael Guzman, Luis Jones, Michael Baldwin",30/10/2017,1993,TV-MA,136 min,"Thriller, Drama, Horror",Middle simple place mean Congress deep. Know until catch author good believe argue.
SH00452,TV Show,Professor city director,Kathleen Russell,"Paul Alexander, Keith Miller, Cody Mason, Lisa Burke",01/10/2018,1997,G,150 min,Romance,However only first office candidate fill soldier.
SH00453,TV Show,Executive home movement,Daniel Walker,"Karen Brown, Anthony Smith",25/02/2017,2009,PG-13,2 Seasons,"Comedy, Documentary",His ability fish test heart day system. Firm early remain picture.
SH00454,TV Show,Live piece candidate,Karen Randall,"Heather Stanley, Aaron Ward, George Warner, Kimberly Harding, Lauren Fernandez",27/12/2018,2018,PG,99 min,"Thriller, Action, Drama",Item green wall whole. Talk even late focus least thing. Beat myself look hear.
SH00455,Movie,Little statement,Thomas Kim,"Tami Camacho, Matthew Leonard",10/06/2018,1999,R,131 min,"Action, Romance",Professional method would kid professional like. Water write medical approach.
SH00456,Movie,Street heavy,Nicholas Estes,"Vincent Payne, Michelle Kerr, Kevin Garcia, Robert Marshall",19/04/2018,2023,TV-14,108 min,"Documentary, Drama, Comedy",Practice he development dream. West city lose society analysis process.
SH00457,TV Show,Very,Tanya Stevens,"Michael Wolfe, Andrew Bender",28/01/2017,2015,R,6 Seasons,"Documentary, Drama",Never explain task project as investment. Method kind through bank move who seven fly.
SH00458,TV Show,Important floor,Jeremy Mccoy,"Kristy Sloan, Thomas Turner, Sheila Fox, Taylor Santiago, Christopher Jenkins",27/10/2022,1992,TV-14,3 Seasons,"Horror, Action",Major car organization sometimes instead party. List consider land by likely.
SH00459,Movie,Claim,Richard Gardner,"Jason Mullen, Patrick Jackson, James Casey, Danielle Keith",31/12/2017,1995,TV-MA,145 min,Comedy,Education back course most produce my around. Up report skin computer thought side.
SH00460,Movie,She human onto remain,Helen Dillon,"Randy Brooks, Todd Cox, Christopher Gomez, Joseph Young",10/06/2018,1994,R,9 Seasons,"Horror, Sci-Fi",Them activity wait happen chance building might. Job take political.
SH00462,Movie,Race television,Rachel Shannon,"Alicia Nunez, Megan Lopez, Jamie Perez, Diana Page",02/06/2019,2012,PG,142 min,"Comedy, Action, Romance",Result foot read account anyone increase past. Letter interesting consumer factor.
SH00463,TV Show,Among,Kyle Massey,"Richard White, Danielle Hale",28/10/2019,1998,R,145 min,Sci-Fi,Condition strong tonight structure. Lead door eat level watch day.
SH00464,Movie,Former never option,Alyssa Taylor,"James Underwood, Dr. Rose Parks, Erica Valdez",24/10/2019,2009,PG,7 Seasons,"Drama, Comedy",Already myself town letter scene quite. Side information black inside police.
SH00465,TV Show,Heavy particular along,Samantha Fernandez,"Suzanne Robinson, Alexander Brown, Laurie Logan, Margaret Moore, Victoria Tucker",05/07/2021,2007,TV-MA,125 min,Thriller,Part simply action performance thing. Woman office onto prepare.
SH00467,TV Show,Down middle more Mr,Russell Burke Jr.,"Nicholas Potter, Barry Casey, Tammy Schmidt, Russell Nguyen",08/08/2023,2013,TV-MA,1 Seasons,Sci-Fi,Manager along president speech recently teacher training.
SH00468,Movie,Every where,Amber Bailey,"Timothy Snyder MD, Jessica Thomas, Justin Martin",10/11/2021,1992,TV-14,6 Seasons,"Thriller, Action",Operation for father that piece investment technology.
SH00469,Movie,Discuss provide,Austin Friedman,"Ashley Shelton, Joseph Baxter",12/03/2021,2021,TV-MA,5 Seasons,"Drama, Documentary",Before painting American standard. Under maintain particular eat start wall forget.
SH00471,Movie,Happy everybody position,Michael Kelly,"Richard Daniels, Dr. Isaiah Robinson, Cassandra Morgan, Alexander Kirby",30/04/2020,2014,PG,4 Seasons,Comedy,Tax friend stock parent they federal. Last ready blue actually.
SH00472,TV Show,Able term this,Collin Wallace,"Rebekah Lewis, Christian Whitaker, Debra Bauer, George Vargas, Katrina Medina",13/07/2021,1998,G,103 min,Romance,Special economic particularly college site. Actually point up matter environment.
SH00473,Movie,Deep under,Matthew Griffin,"Susan Howard, Jonathan Taylor",30/04/2018,1993,PG,158 min,Sci-Fi,We talk meeting tough ten over. Brother clear order.
SH00474,TV Show,Challenge stay baby,Robert Cruz,"Jacob Martinez, Nathan Booth, Vincent Allen",07/09/2022,2003,PG-13,8 Seasons,"Romance, Action",Skin society skin man those degree.
SH00475,Movie,You position,Nicole Pruitt,"Amy Lloyd, Marissa Gomez",15/12/2018,2023,PG,4 Seasons,"Documentary, Sci-Fi",Research accept up lawyer themselves. Property ever teacher much these everything toward.
SH00476,TV Show,Well herself,Eric Frost,"Daniel Zuniga, Courtney Carroll",29/11/2019,2000,TV-14,4 Seasons,"Romance, Drama, Action",Relate pass until agency have even. Would memory step camera now.
SH00477,Movie,Against instead,Robert Dillon MD,"George Watson, Emily Morales, Kelly Adams, Daniel Kirk",31/05/2022,1992,PG,77 min,"Action, Documentary",Hotel sell just want walk imagine real cover.
SH00478,TV Show,Pressure relationship,Susan Reynolds,"Charles Rodriguez, Micheal Martinez, Lauren Gomez, Tiffany Anderson, Michael Gray",20/07/2020,2017,PG,3 Seasons,Sci-Fi,Edge seem describe. Child again economic campaign together couple.
SH00479,Movie,Song thus,Jeffrey Douglas,"John Winters, Phillip Nielsen",08/06/2020,2018,G,69 min,Romance,Skin type film military onto time. Structure inside world rest smile participant.
SH00480,TV Show,Card research computer,Amber Wright,"Jennifer Parker, Henry Hill",04/11/2022,1998,PG,5 Seasons,"Documentary, Comedy",Song remain although book tax. Home realize marriage forget especially.
SH00481,TV Show,Skin man down,Stephanie Johnson,"Jonathan Sanford, Michael Torres, Elijah Bradley",06/05/2017,1992,G,2 Seasons,"Horror, Thriller, Sci-Fi",Trade how as. Later democratic PM focus she ahead. Series onto reflect feeling contain.
SH00483,Movie,Doctor senior,Nicole Scott,"Dr. Jennifer Ford, Robert Lucas, Allison Carter, Mark Cook, James Osborne",02/01/2023,2023,PG-13,158 min,"Thriller, Sci-Fi",Task consider serious majority fire. Natural plan report network prove.
SH00484,TV Show,Road by conference,Brenda Perez,"Patrick Anderson, Alyssa Banks, Lisa Hughes, April Decker, Eugene Patterson",04/09/2022,2001,G,9 Seasons,Action,Fast thus account relationship. Bill vote wife serious fly. Step fast especially.
SH00485,Movie,Surface attack,Mr. William Owen,"Jennifer Hughes, Briana Padilla, Dr. Morgan Rodriguez, Lawrence Logan",23/05/2021,1998,TV-14,9 Seasons,Drama,Job seem accept shoulder detail later market.
SH00486,TV Show,Glass often certainly movement,Bruce Thomas,"John Williams, Crystal Hanson, Matthew Williams, Candice Turner, Juan Long",08/03/2017,2004,R,1 Seasons,"Drama, Romance",Budget likely reason character. In power future trouble east.
SH00487,Movie,Keep performance close,William Thompson,"Michelle Thompson, Eugene Reyes, Alicia Lewis",21/08/2017,2014,G,144 min,"Romance, Drama, Thriller",Nature heavy report amount would billion through.
SH00488,TV Show,Thing will kind,Stanley King,"William Anderson, Andrew Young, Dwayne Melton, Melanie Anderson, Mr. Eric Bentley",27/11/2022,1994,G,103 min,"Sci-Fi, Action",Student rather he fill public but assume more.
SH00489,Movie,Character young,Richard Dixon,"Amy Baker, Kelly Smith",15/03/2020,2000,PG-13,172 min,"Horror, Drama",Miss then you former soon economy yourself. Government hard guess argue amount.
SH00490,Movie,Investment under,Renee Smith,"Alexandra Simmons, Kelly Gutierrez, Joel Clark, Stuart Garcia, Kathleen Martinez",29/11/2022,2023,TV-14,158 min,"Sci-Fi, Documentary",Likely approach whatever tax threat still.
SH00491,TV Show,Discussion,Kristina Castro,"Christopher Robertson, Jeremiah Fischer, Melissa Castro, Megan Holland, Gerald Buckley",26/03/2023,2013,TV-MA,139 min,"Romance, Horror",Those benefit behavior PM clear. Animal Mr base officer season only appear.
SH00492,Movie,Lot worker,Ashley Smith,"Shane Thompson, Marc Meyer, Marilyn Wright, Mr. Zachary Ho MD",21/04/2017,2004,TV-MA,76 min,Documentary,Evidence model if defense firm agreement. Exactly then bar social common each effort.
SH00493,Movie,Various claim,Aaron Burch,"Tina White, Mary Sellers",02/02/2021,1997,G,10 Seasons,Documentary,Usually kid hundred. Night member less ever stuff garden follow away.
SH00495,Movie,Crime election,Bill Burke,"Dawn Alexander, Darryl Lewis, Nicole Hernandez",15/09/2018,2015,TV-14,79 min,"Sci-Fi, Action, Comedy",Social us bank clearly none lead. Purpose campaign arrive speech such age.
SH00496,Movie,Industry wall role produce,Autumn Sanders,"Deanna Castillo, Brian Fowler, Jamie Curtis, Luke Walton, Kelly Morton",09/10/2023,2007,R,3 Seasons,"Action, Thriller",Thing certainly quite. Teach care option such teacher treatment.
SH00497,Movie,Southern civil election,Shawn Lewis,"Wanda Murray, Mrs. Claudia Leach, James Simmons, Joel Torres, Christine Ross",22/03/2021,1995,PG,3 Seasons,Thriller,Sense way religious main others fact forget day. Degree reflect radio open positive.
SH00499,Movie,Prove herself,Adam Cline,"William Smith, Janet Palmer, Susan Choi, Sheila Hamilton",28/10/2021,2017,TV-14,10 Seasons,"Horror, Comedy, Drama",Big season least day quickly. Parent change talk. Before experience force.
SH00678,TV Show,7 (Seven),Nizar Shafi,"Rahman, Havish, Regina Cassandra, Nandita Swetha, Anisha Ambrose, Tridha Choudhury, Pujitha Ponnada, Aditi Arya",30/07/2019,2019,TV-14,1 Season, Shows,"Multiple women report their husbands as missing but when it appears they are looking for the same man, a police officer traces their cryptic connection."
SH00685,Movie,The Land of Cards,Qaushiq Mukherjee,"Joyraj Bhattacharya, Rii, Soumyak Kanti DeBiswas, Anubrata Basu, Tillotama Shome, Maya Tideman, Tinu Verghese, Immaduddin Shah, Sayani Gupta",22/11/2016,2012,TV-14,113 min,"Dramas, Independent Movies, ",A royal prince arrives on an island of fascist rule and inspires a rebellion among its women in this hallucinogenic adaptation of a classic play.
SH00686,Movie,The Violin Player,Bauddhayan Mukherji,"Ritwick Chakraborty, Adil Hussain, Nayani Dixit, Sonam Stobgais",01/12/2016,2016,TV-14,72 min,"Dramas, Independent Movies, ","An unemployed Bollywood session violinist in Mumbai finally lands a small gig, but it's what happens on his way home that proves truly transformative."
SH00688,Movie,Happy New Year,Farah Khan,"Shah Rukh Khan, Deepika Padukone, Abhishek Bachchan, Sonu Sood, Boman Irani, Vivaan Shah",01/02/2017,2014,TV-14,179 min,"Action & Adventure, Comedies, Dramas",A revenge-seeking diamond thief gathers a ragtag crew to infiltrate a Dubai hotel hosting a dance contest. But first they have to learn how to dance.
SH00689,Movie,Haraamkhor,Shlok Sharma,"Nawazuddin Siddiqui, Shweta Tripathi, Harish Khanna, Irfan Khan, Trimala Adhikari, Mohd Samad",01/02/2017,2015,TV-14,93 min,"Dramas, Independent Movies, ","A selfish, manipulative schoolteacher takes advantage of a schoolgirl's vulnerability to gratify his dark, narcissistic desires."
SH00690,Movie,Madaari,Nishikant Kamat,"Irrfan Khan, Jimmy Shergill, Vishesh Bansal, Tushar Dalvi, Nitish Pandey",17/02/2017,2016,TV-14,134 min,"Dramas, Independent Movies, ","A bridge under construction collapses in Mumbai, killing a man's family and launching him on a crusade to bring those responsible to justice."
SH00691,Movie,Force 2,Abhinay Deo,"John Abraham, Sonakshi Sinha, Tahir Raj Bhasin, Narendra Jha, Adil Hussain, Vikram Kapadia, Patricia Hittler, Genelia D'souza, Raj Babbar, Freddy Daruwala, Boman Irani",27/02/2017,2016,TV-14,123 min,"Action & Adventure, ","An ex-cop investigates the death of his best friend and two other spies, killings that lead to a mole operating from India's embassy in Budapest."
SH00692,Movie,One 2 Ka 4,Shashilal K. Nair,"Shah Rukh Khan, Juhi Chawla, Jackie Shroff, Nirmal Pandey, Dilip Joshi, Sahila Chaddha, Suresh Chatwal, Bharat Dabholkar, Baby Gazala, Akash Khurana",15/03/2017,2001,TV-14,160 min,"Action & Adventure, Comedies, Dramas","When his partner is killed, a young cop is forced to care for the man's four children, and solicits the help of a woman who moves in with them."
SH00693,Movie,Colkatay Columbus,Saurav Palodhi,"Mir Afsar Ali, Gaurav Chakrabarty, Tanusree Chakraborty, Anirban Bhattacharya, Ritabhari Chakraborty, Suchandra Vaaniya, Arijit Dutt",30/03/2017,2016,TV-14,118 min,"Comedies, Dramas, Independent Movies","When Christopher Columbus mysteriously appears in modern-day Kolkata, India, two struggling young men look to him for advice on achieving success."
SH00694,Movie,Elaan,K. Ramanlal,"Vinod Mehra, Rekha, Vinod Khanna, Helen, Madan Puri, Brahm Bhardwaj",01/04/2017,1971,TV-14,143 min,"Action & Adventure, Cult Movies, ","Journalist Naresh is hired to probe illegal activities on an island. When he's captured, a fellow prisoner gives him a ring with magic powers."
SH00695,Movie,Salaakhen,A. Salaam,"Shashi Kapoor, Sulakshana Pandit, Mehmood, Sudhir, Anjana Mumtaz, Sajjan, M. Rajan, Mac Mohan, Amrish Puri, Ramesh Deo",01/04/2017,1975,TV-14,134 min,"Action & Adventure, , Music & Musicals","Two close childhood friends take drastically different paths in life, but meet by chance years later and fall in love, unaware of their past bond."
SH00696,Movie,Raja Hindustani,Dharmesh Darshan,"Aamir Khan, Karisma Kapoor, Suresh Oberoi, Johnny Lever, Navneet Nishan, Veeru Krishnan, Kunal Khemu, Pramod Moutho, Mohnish Bahl",01/05/2017,1996,TV-14,177 min,DramasRomantic Movies,"When a poor taxi driver falls in love with a wealthy young woman, he must stand up to her family and contend with his own insecurities."
SH00697,Movie,Yamla Pagla Deewana 2,Sangeeth Sivan,"Dharmendra, Sunny Deol, Bobby Deol, Neha Sharma, Kristina Akheeva, Annu Kapoor, Johnny Lever, Sucheta Khanna, Aidan Cook, Anupam Kher",01/05/2017,2013,TV-14,147 min,"Action & Adventure, Comedies, ","Up to his old tricks, con man Dharam poses as a millionaire to get his younger son married to the daughter of a wealthy businessman."
SH00698,Movie,Chaahat,Mahesh Bhatt,"Naseeruddin Shah, Shah Rukh Khan, Pooja Bhatt, Anupam Kher, Ramya Krishnan, Avtar Gill, Mushtaq Khan",01/05/2017,1996,TV-14,148 min,DramasRomantic Movies,A vulnerable singer is forced to choose between the girl he loves and another who has developed an unhealthy obsession with him.
SH00699,Movie,Ram Jaane,Rajiv Mehra,"Shah Rukh Khan, Juhi Chawla, Vivek Mushran, Pankaj Kapur, Puneet Issar, Tinnu Anand, Deven Verma, Gulshan Grover, Amrit Pal, Arun Bali",15/05/2017,1995,TV-14,142 min,"Dramas, Music & Musicals","Two boyhood pals – one righteous, the other a criminal – take very different paths to adulthood. Their love for the same woman may prove disastrous."
SH00700,Movie,Chamatkar,Rajiv Mehra,"Shah Rukh Khan, Naseeruddin Shah, Urmila Matondkar, Malvika Tiwari, Shammi Kapoor, Deven Verma, Tinnu Anand, Anjana Mumtaz, Anjan Srivastav, Rakesh Bedi",15/05/2017,1992,TV-14,164 min,"Comedies, , Sci-Fi & Fantasy","A village schoolteacher and the ghost of a murdered man, who were both betrayed by those closest to them, join forces to help each other."
SH00701,Movie,Raees,Rahul Dholakia,"Shah Rukh Khan, Mahira Khan, Nawazuddin Siddiqui, Mohammed Zeeshan Ayyub, Sheeba Chaddha, Shubham Chintamani, Shubham Tukaram, Atul Kulkarni, Narendra Jha, Jaideep Ahlawat, Sunny Leone",26/05/2017,2017,TV-14,143 min,"Action & Adventure, Dramas","After street smart kid Raees rises to become Gujarat's bootlegging king in the 1980s, he tries to balance his life of crime with helping his people."
SH00702,Movie,Rangoon,Vishal Bhardwaj,"Saif Ali Khan, Shahid Kapoor, Kangana Ranaut, Shriswara, Richard McCabe, Satoru Kawaguchi, Surendra Pal, Lin Laishram",29/05/2017,2017,TV-14,153 min,"Action & Adventure, Dramas","During World War II, daredevil star Miss Julia entertains soldiers at the Indo-Burma border, where she's caught up in a web of love and deceit."
SH00703,Movie,Aashik Awara,Umesh Mehra,"Saif Ali Khan, Mamta Kulkarni, Mohnish Bahl, Sharmila Tagore, Saeed Jaffrey, Kader Khan",01/06/2017,1993,TV-14,154 min,"Dramas, Music & Musicals","Raised by a kindly thief, orphaned Jimmy goes on the run from goons and falls in love with Jyoti, whose father indirectly caused his parents' deaths."
SH00704,Movie,Oh Darling Yeh Hai India,Ketan Mehta,"Shah Rukh Khan, Deepa Sahi, Javed Jaffrey, Anupam Kher, Amrish Puri, Tom Alter, Tinnu Anand, Sadashiv Amrapurkar, Tiku Talsania, Kader Khan",01/06/2017,1995,TV-14,154 min,"Action & Adventure, Comedies, ",A penniless actor new to Mumbai and a beautiful woman he meets one fateful night try to stop a gangster from replacing India's president with a twin.
SH00705,Movie,The Wishing Tree,Manika Sharma,"Shabana Azmi, Makrand Deshpande, Harshpreet Kaur, Aabhas Yadav, Shivani Joshi, Saurabh Shukla",05/06/2017,2017,TV-14,117 min,"Children & Family Movies, Dramas, Music & Musicals",Five children living on the edge of a forest band together to save a magical wishing tree from destruction and find their own paths to happiness.
SH00706,Movie,Lal Patthar,Sushil Majumdar,"Raaj Kumar, Hema Malini, Rakhee Gulzar, Vinod Mehra, Asit Kumar Sen, Paintal, Dulari, Chandramohan, Sujata Bakshi, Meena T.",01/07/2017,1971,TV-14,153 min,"Classic Movies, Dramas","A vain, self-righteous nobleman falls in love with a village girl and tries to transform her into his version of the ideal woman."
SH00707,Movie,Singh Saab the Great,Anil Sharma,"Sunny Deol, Urvashi Rautela, Prakash Raj, Amrita Rao, Anjali Abrol, Johnny Lever, Sanjay Mishra, Yashpal Sharma, Manoj Pahwa, Raj Premi",15/07/2017,2013,TV-14,143 min,"Action & Adventure, Dramas","As the result of a TV journalist's curiosity, the amazing saga of an honorable government tax collector's past comes to light."
SH00708,Movie,Baahubali: The Beginning (Hindi Version),S.S. Rajamouli,"Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia, Sathyaraj, Nassar, Ramya Krishnan, Sudeep",07/08/2017,2015,TV-14,159 min,"Action & Adventure, Dramas",Villagers in the kingdom of Mahismati rescue a baby who is destined to embark on a heroic quest in this Hindi version of S.S. Rajamouli's epic.
SH00709,Movie,Lorai: Play to Live,Parambrata Chatterjee,"Prasenjit Chatterjee, Payel Sarkar, Indrasish Roy, Kanchan Mullick, Kharaj Mukherjee, Gargi Roychowdhury, Deepankar De, Biswajit Chakraborty, Bharat Kaul, Rajat Ganguly",01/09/2017,2015,TV-14,155 min,"Dramas, Sports Movies","Under a government initiative, a retired alcoholic soccer player is sent to establish a soccer team in a politically troubled area."
SH00710,Movie,Aakhri Adaalat,Rajiv Mehra,"Vinod Khanna, Dimple Kapadia, Jackie Shroff, Sonam, Vinod Mehra, Shafi Inamdar, Gulshan Grover, Roopesh Kumar",01/09/2017,1988,TV-14,148 min,"Action & Adventure, ",An intrepid police inspector forced into a desk job must take matters into his own hands when ruthless criminals are released on a technicality.
SH00711,Movie,Mujrim,Umesh Mehra,"Mithun Chakraborty, Madhuri Dixit, Suresh Oberoi, Shakti Kapoor, Pallavi Joshi, Gulshan Grover, Amrish Puri, Nutan, Jagdeep, Sharat Saxena",01/09/2017,1989,TV-14,163 min,"Action & Adventure, Dramas","Jailed as a teenager, Shankar has been unable to stay on the right side of the law ever since, despite his wife's pleas and his mother's rejection."
SH00712,Movie,Manoranjan,Shammi Kapoor,"Sanjeev Kumar, Zeenat Aman, Shammi Kapoor, Dev Kumar, Madan Puri, Paintal, Asit Kumar Sen, Agha, Murad, Shefali",01/09/2017,1974,TV-14,162 min,"Comedies, , Music & Musicals","After getting fired, a police officer connects with a prostitute he met on the job in a red-light district and sets out to keep her off the streets."
SH00713,Movie,Khoon Khoon,Mohammed Hussain,"Danny Denzongpa, Mahendra Sandhu, Rekha, Faryal, Helen, Jagdeep",01/09/2017,1973,TV-14,132 min,"Action & Adventure, ","As a crazed killer blazes a trail of blood through an anxious city, a hardened cop aims to take him down by any means in this remake of “Dirty Harry.”"
SH00714,Movie,Ek Jaan Hain Hum,Rajiv Mehra,"Rajiv Kapoor, Divya Rana, Shammi Kapoor, Tanuja, Kiran Vairale, Rakesh Bedi, Gulshan Grover, Monty Sharma",01/09/2017,1983,TV-14,151 min,"Dramas, Music & Musicals","While trying to win over his beloved’s parents, a young man is accused of arson, and his father soon realizes insanity may be his only defense."
SH00715,Movie,Aisa Yeh Jahaan,Biswajeet Bora,"Palash Sen, Ira Dubey, Yashpal Sharma, Tinnu Anand, Prisha Dabbas, Kymsleen Kholie, Satish Sharma",15/10/2017,2015,TV-14,127 min,"Dramas, Independent Movies, ","During a vacation with her parents, away from her concrete urban existence, a young girl learns to appreciate the joys of connecting with nature."
SH00716,Movie,Veerappan,Ram Gopal Varma,"Sandeep Bharadwaj, Sachiin Joshi, Lisa Ray, Usha Jadhav, Nissar Khan, Krishna Shrikanth Iyengar",15/10/2017,2016,TV-14,117 min,"Action & Adventure, Dramas",A police official assembles an elaborate network of spies and undercover operatives to bring down a ruthless bandit with a private army.
SH00717,Movie,Gour Hari Dastaan: The Freedom File,Ananth Narayan Mahadevan,"Vinay Pathak, Konkona Sen Sharma, Ranvir Shorey, Tannishtha Chatterjee, Rajit Kapoor, Vikram Gokhale, Vipin Sharma, Rahul Vohra, Saurabh Shukla, Asrani",15/10/2017,2015,TV-14,109 min,"Dramas, Independent Movies, ",A former freedom fighter is forced to navigate the corridors of a disinterested bureaucracy to prove that he fought in India's freedom movement.
SH00718,Movie,Jal,Girish Malik,"Purab Kohli, Tannishtha Chatterjee, Kirti Kulhari, Yashpal Sharma, Mukul Dev, Saidah Jules, Ravi Gossain, Rahul Singh",15/10/2017,2013,TV-14,132 min,"Dramas, Independent Movies, ",A gifted young man from a drought-stricken village helps a group of ecologists find water for migrating flamingoes.
SH00719,Movie,Ankur Arora Murder Case,Sohail Tatari,"Kay Kay Menon, Tisca Chopra, Arjun Mathur, Paoli Dam, Vishakha Singh, Manish Chaudhary, Vishesh Tiwari, Harsh Chhaya",15/10/2017,2013,TV-14,127 min,DramasThrillers,A young medical intern sets out to fight for justice after the negligence of the surgeon he looked up to ends in tragedy.
